4;An_Entity;0.742;0.0;2.0794415416798357;2.8214415416798357
4;any_object;0.717;0.0;2.0794415416798357;2.796441541679836
5;E_R_Diagram;0.742;0.0;2.0794415416798357;2.8214415416798357
7;Employee_Manager_Department_Product_and_many_more;0.925;0.0;2.0794415416798357;3.004441541679836
7;entities;0.925;0.0;2.0794415416798357;3.004441541679836
30;The_ER_model;0.93;0.0;2.0794415416798357;3.009441541679836
30;the_conceptual_view_of_a_database;0.833;0.0;2.0794415416798357;2.9124415416798355
31;It;0.809;0.0;2.0794415416798357;2.888441541679836
31;real_world_entities_and_the_associations;0.809;0.0;2.0794415416798357;2.888441541679836
32;a_good_option;0.778;0.0;2.0794415416798357;2.8574415416798358
32;view_level;0.754;0.0;2.0794415416798357;2.8334415416798358
33;we;0.685;0.0;2.0794415416798357;2.764441541679836
33;an_Entity_Relationship_ER_model;0.685;0.0;2.0794415416798357;2.764441541679836
33;we;0.507;0.0;2.0794415416798357;2.586441541679836
34;we;0.709;0.0;2.0794415416798357;2.788441541679836
34;the_following_statements;0.709;0.0;2.0794415416798357;2.788441541679836
45;An_entity_relationship_model_ER_model;0.854;0.0;2.0794415416798357;2.933441541679836
45;inter_related_things_of_interest;0.854;0.0;2.0794415416798357;2.933441541679836
45;interest;0.841;0.0;2.0794415416798357;2.9204415416798355
46;entity_types_which_classify_the_things_of_interest;0.93;0.0;2.0794415416798357;3.009441541679836
49;Entity_relationship_modeling;0.929;0.0;2.0794415416798357;3.0084415416798356
49;database_design;0.929;0.0;2.0794415416798357;3.0084415416798356
49;a_1976_paper;0.898;0.0;2.0794415416798357;2.977441541679836
51;super_and_subtype_entities_connected_by_generalization_specialization_relationships_and_an_ER_model;0.937;0.0;2.0794415416798357;3.0164415416798356
51;the_specification_of_domain_specific_ontologies;0.937;0.0;2.0794415416798357;3.0164415416798356
56;An_entity_relationship_model;0.955;0.0;2.0794415416798357;3.034441541679836
56;systematic_analysis_to_define_and_describe_what_is_important_to_processes_in_an_area_of_a_business;0.955;0.0;2.0794415416798357;3.034441541679836
56;the_result_of_systematic_analysis;0.838;0.0;2.0794415416798357;2.917441541679836
57;It;0.64;0.0;2.0794415416798357;2.719441541679836
57;the_business;0.64;0.0;2.0794415416798357;2.719441541679836
58;It;0.891;0.0;2.0794415416798357;2.9704415416798358
58;a_graphical_form;0.891;0.0;2.0794415416798357;2.9704415416798358
58;graphical;0.42;0.0;2.0794415416798357;2.4994415416798357
58;boxes_entities_that_are_connected_by_lines_relationships;0.42;0.0;2.0794415416798357;2.4994415416798357
59;a_verbal_form;0.929;0.0;2.0794415416798357;3.0084415416798356
59;one_apartment;0.914;0.0;2.0794415416798357;2.993441541679836
59;one_building;0.914;0.0;2.0794415416798357;2.993441541679836
59;verbal;0.252;0.0;2.0794415416798357;2.331441541679836
59;example_one_building;0.252;0.0;2.0794415416798357;2.331441541679836
